date,weight_kg,recovery_score,resting_hr,hrv_rmssd_ms,recovery_spo2_%,recovery_skin_temp_c,sleep_eff_%,sleep_perf_%,sleep_hours,sleep_start_local,sleep_end_local,respiratory_rate,strain,kilojoule,average_heart_rate,max_heart_rate
2025-07-27,81,,,,,,93.09,88.0,8.45,2025-07-27 22:49:01,2025-07-28 07:53:33,18.574,,,,
2025-07-28,,66.0,60.0,56.41,94.47,33.963,,,,,,,,,,
2025-07-29,,69.0,59.0,59.08,96.95,34.459,98.18,91.0,8.12,2025-07-29 22:59:55,2025-07-30 07:15:55,18.105,,,,
2025-07-30,,98.0,55.0,79.14,95.47,33.717,97.22,84.0,7.61,2025-07-30 23:16:33,2025-07-31 07:07:34,18.574,,,,
2025-07-31,,24.0,67.0,29.33,94.98,34.212,,,,,,,,,,
2025-08-01,,58.0,60.0,54.53,96.96,34.58,87.66,84.0,6.45,2025-08-01 00:14:23,2025-08-01 07:37:54,18.164,,,,
2025-08-02,,49.0,62.0,47.83,96.94,34.41,96.43,87.0,8.13,2025-08-02 00:10:56,2025-08-02 08:39:57,18.398,13.59,10662.2,76.0,163.0
2025-08-03,80.6,48.0,61.0,46.54,97.07,34.35,95.69,86.0,9.62,2025-08-03 00:01:57,2025-08-03 10:11:59,18.574,14.72,10792.4,74.0,174.0
2025-08-04,,55.0,60.0,52.8,95.45,33.842,98.82,82.0,6.27,2025-08-04 00:49:01,2025-08-04 07:22:31,18.984,14.17,10293.6,73.0,179.0
2025-08-05,,56.0,61.0,51.33,94.74,34.282,96.0,85.0,7.21,2025-08-05 00:05:59,2025-08-05 07:47:00,19.043,9.61,8751.8,70.0,154.0
2025-08-06,,63.0,60.0,56.21,97.0,34.182,94.9,85.0,7.3,2025-08-06 23:18:31,2025-08-07 07:07:31,18.418,15.56,11866.7,76.0,182.0
2025-08-07,,84.0,57.0,69.15,95.75,34.372,95.22,88.0,6.99,2025-08-07 23:30:56,2025-08-08 06:59:29,18.574,9.67,8936.8,71.0,152.0
2025-08-08,,57.0,60.0,53.37,97.75,33.928,98.02,91.0,8.68,2025-08-08 23:30:00,2025-08-09 08:27:15,18.398,12.76,9495.6,68.0,153.0
2025-08-09,,65.0,60.0,56.72,95.92,34.679,94.9,94.0,8.06,2025-08-09 23:08:01,2025-08-10 07:39:57,18.203,13.95,11131.9,73.0,170.0
2025-08-10,80.1,91.0,58.0,71.64,95.83,33.695,,,,,,,,,,
2025-08-11,,17.0,69.0,28.83,96.64,34.382,97.51,83.0,9.16,2025-08-11 22:09:04,2025-08-12 07:34:16,17.871,12.07,8196.8,77.0,176.0
2025-08-12,,97.0,56.0,96.06,95.29,33.884,96.46,83.0,6.59,2025-08-12 23:49:08,2025-08-13 06:39:14,18.105,14.61,10437.7,68.0,187.0
2025-08-13,,93.0,52.0,87.51,96.74,34.12,98.45,84.0,8.49,2025-08-13 23:58:24,2025-08-14 08:35:50,18.398,5.74,7427.6,67.0,133.0
2025-08-14,,35.0,62.0,40.81,96.14,34.322,98.38,87.0,7.12,2025-08-14 23:42:17,2025-08-15 06:59:06,17.93,5.49,8883.3,67.0,148.0
2025-08-15,,88.0,54.0,79.22,95.31,34.255,,,,,,,,,,
2025-08-16,,70.0,56.0,74.17,94.87,35.034,98.81,84.0,9.67,2025-08-16 23:20:20,2025-08-17 09:08:10,18.691,18.3,11772.6,80.0,181.0
2025-08-17,79.7,48.0,58.0,52.56,96.52,34.128,,,,,,,,,,
2025-08-18,,62.0,57.0,67.13,94.97,34.239,98.0,78.0,6.13,2025-08-18 00:26:22,2025-08-18 06:42:37,19.199,4.24,7337.4,63.0,125.0
2025-08-19,,62.0,57.0,65.26,96.5,34.48,98.87,81.0,6.55,2025-08-19 00:01:25,2025-08-19 06:39:00,18.237,11.76,9564.4,66.0,155.0
2025-08-20,,49.0,60.0,54.82,97.29,34.701,98.37,83.0,7.55,2025-08-20 00:26:10,2025-08-20 08:08:37,18.516,9.69,8923.5,68.0,148.0
2025-08-21,,77.0,55.0,73.58,95.85,34.476,98.72,86.0,7.75,2025-08-21 23:22:44,2025-08-22 07:13:31,18.516,12.78,9966.8,66.0,155.0
2025-08-22,,80.0,54.0,72.43,96.28,34.202,96.64,87.0,8.63,2025-08-22 23:16:16,2025-08-23 08:19:25,19.004,15.29,11278.2,70.0,191.0
2025-08-23,,40.0,62.0,49.25,96.33,34.8,,,,,,,,,,
2025-08-24,80.5,53.0,62.0,59.88,95.8,34.27,97.35,82.0,6.75,2025-08-24 01:21:19,2025-08-24 08:17:04,18.984,5.42,7063.9,70.0,151.0
2025-08-25,,64.0,59.0,65.63,95.8,34.194,,,,,,,,,,
2025-08-26,80.5,57.0,56.0,62.47,94.63,34.567,98.19,81.0,5.91,2025-08-26 00:16:39,2025-08-26 06:21:37,18.75,3.36,2573.5,58.0,110.0
