,Дата,"Питание
 утро","Питание
 вечер 2ч до сна","Питание
 перед сном за 30 мин"
1 неделя,21.июл,"Оливковое
 15 мл","Льняное
 15 мл","Кедровое
 5 мл"
,22.июл,,,
,23.июл,,,
,24.июл,,,
,25.июл,,,
,26.июл,,,
,27.июл,,,
2 неделя,28.июл,"Оливковое
 15 мл","Льняное
 15 мл","Кедровое
 5 мл"
,29.июл,,,
,30.июл,,,
,31.июл,,,
,01.авг,,,
,02.авг,,,
,03.авг,,,
3 неделя,04.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,05.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,06.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,07.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,08.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,09.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,10.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
4 неделя,11.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,12.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,13.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,14.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,15.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
,16.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,17.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
5 неделя,18.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
,19.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,20.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
,21.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,22.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
,23.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,24.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
6 неделя,25.авг,Оливковое 15 мл,Льняное 8 мл,Кедровое 5 мл
,26.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,27.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,28.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,29.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
,30.авг,Оливковое 15 мл,Тыквенное 10 мл,Чёрный тмин 5 мл
,31.авг,Оливковое 15 мл,Льняное 15 мл,Кедровое 5 мл
7 неделя,01.сен,Льняное 15 мл,Тыквенное 10 мл,—
,02.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,03.сен,Льняное 15 мл,Тыквенное 10 мл,—
,04.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,05.сен,Льняное 15 мл,Тыквенное 10 мл,—
,06.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,07.сен,Льняное 15 мл,Тыквенное 10 мл,—
8 неделя,08.сен,Льняное 15 мл,Тыквенное 10 мл,—
,09.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,10.сен,Льняное 15 мл,Тыквенное 10 мл,—
,11.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,12.сен,Льняное 15 мл,Тыквенное 10 мл,—
,13.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,14.сен,Льняное 15 мл,Тыквенное 10 мл,—
,15.сен,Льняное 15 мл,Тыквенное 10 мл,—
,16.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,17.сен,Льняное 15 мл,Тыквенное 10 мл,—
,18.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
,19.сен,Льняное 15 мл,Тыквенное 10 мл,—
,20.сен,Оливковое 15 мл,Чёрный тмин 5 мл,—
