date,sport,workouts_count,strain_sum,energy_kj_sum,avg_hr_mean,duration_min_sum,start_local,end_local,zone_zero_min,zone_one_min,zone_two_min,zone_three_min,zone_four_min,zone_five_min
2025-07-27,meditation,1,0.0,0.0,,20.0,2025-07-27 21:17:28,2025-07-27 21:37:28,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-27,running,1,10.57,2117.1,128.0,63.0,2025-07-27 15:24:00,2025-07-27 16:26:59,0.5,47.4,12.2,3.0,0.0,0.0
2025-07-27,yoga,1,5.19,118.5,78.0,23.1,2025-07-27 09:53:20,2025-07-27 10:16:24,23.1,0.0,0.0,0.0,0.0,0.0
2025-07-28,meditation,1,0.0,0.0,,17.2,2025-07-28 23:42:50,2025-07-28 23:59:59,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-28,yoga,2,11.42,265.2,74.0,51.6,2025-07-28 08:40:42,2025-07-28 23:40:00,51.6,0.0,0.0,0.0,0.0,0.0
2025-07-29,meditation,1,0.0,0.0,,27.9,2025-07-29 22:30:24,2025-07-29 22:58:16,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-30,swimming,1,5.82,504.9,119.0,20.0,2025-07-30 21:10:36,2025-07-30 21:30:36,5.8,8.0,5.4,0.8,0.0,0.0
2025-07-30,tennis,1,12.73,3022.4,126.0,97.5,2025-07-30 16:00:00,2025-07-30 17:37:29,7.0,56.4,20.6,13.1,0.4,0.0
2025-07-30,yoga,1,7.31,175.1,73.0,34.1,2025-07-30 08:20:08,2025-07-30 08:54:15,34.1,0.0,0.0,0.0,0.0,0.0
2025-07-31,meditation,1,0.0,0.0,,17.0,2025-07-31 23:36:28,2025-07-31 23:53:28,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-31,running,1,10.9,1980.7,135.0,50.3,2025-07-31 20:39:21,2025-07-31 21:29:36,0.6,17.4,29.8,2.5,0.0,0.0
2025-07-31,yoga,1,5.64,128.3,83.0,25.0,2025-07-31 23:10:37,2025-07-31 23:35:37,25.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,meditation,1,0.0,0.0,,23.6,2025-08-01 23:21:37,2025-08-01 23:45:15,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,tennis,1,9.06,1675.8,124.0,57.5,2025-08-01 19:03:00,2025-08-01 20:00:29,4.1,39.3,13.7,0.4,0.0,0.0
2025-08-02,meditation,1,0.0,0.0,,22.0,2025-08-02 23:15:40,2025-08-02 23:37:40,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-02,swimming,1,5.57,454.9,119.0,19.0,2025-08-02 19:35:33,2025-08-02 19:54:33,3.5,10.6,3.7,1.3,0.0,0.0
2025-08-02,tennis,1,12.33,3040.4,128.0,93.0,2025-08-02 17:31:30,2025-08-02 19:04:29,1.2,56.8,31.3,3.5,0.1,0.0
2025-08-02,yoga,1,3.17,71.9,71.0,14.0,2025-08-02 11:16:30,2025-08-02 11:30:30,14.0,0.0,0.0,0.0,0.0,0.0
2025-08-03,running,1,11.68,2038.3,136.0,50.9,2025-08-03 15:20:10,2025-08-03 16:11:05,0.6,22.5,16.6,5.6,5.3,0.2
2025-08-03,sauna,1,0.0,0.0,,75.0,2025-08-03 17:35:06,2025-08-03 18:50:06,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-03,yoga,1,7.81,193.6,72.0,37.6,2025-08-03 11:15:35,2025-08-03 11:53:08,37.5,0.0,0.0,0.0,0.0,0.0
2025-08-04,meditation,2,0.0,0.0,,43.5,2025-08-04 00:05:58,2025-08-04 23:53:31,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-04,running,1,13.8,3118.7,139.0,73.0,2025-08-04 18:30:42,2025-08-04 19:43:39,1.1,19.4,33.9,13.6,4.0,0.9
2025-08-05,hiit,1,4.69,276.4,103.0,24.8,2025-08-05 16:29:05,2025-08-05 16:53:55,15.4,9.4,0.0,0.0,0.0,0.0
2025-08-05,meditation,1,0.0,0.0,,21.0,2025-08-05 23:42:49,2025-08-06 00:03:49,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-05,tennis,1,7.88,1280.0,116.0,54.0,2025-08-05 19:00:00,2025-08-05 19:53:59,14.2,30.6,8.6,0.5,0.0,0.0
2025-08-05,yoga,1,4.51,103.1,74.0,20.0,2025-08-05 08:20:47,2025-08-05 08:40:47,20.0,0.0,0.0,0.0,0.0,0.0
2025-08-06,meditation,1,0.0,0.0,,24.0,2025-08-06 22:52:41,2025-08-06 23:16:41,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-07,running,1,14.58,3935.6,136.0,97.1,2025-08-07 16:14:00,2025-08-07 17:51:06,1.6,36.6,33.8,19.3,5.3,0.4
